date,season,year,month,holiday,weekday,weather,temperature,humidity,windspeed,casual,registered,total_count
1/01/2011,Spring,2011,1,0,Sun,2,14.11,80.58,10.75,331,654,985
2/01/2011,Spring,2011,1,0,Mon,2,14.9,69.61,16.65,131,670,801
3/01/2011,Spring,2011,1,0,Tues,1,8.05,43.73,16.64,120,1229,1349
4/01/2011,Spring,2011,1,0,Wed,1,8.2,59.04,10.74,108,1454,1562
5/01/2011,Spring,2011,1,0,Thurs,1,9.31,43.7,12.52,82,1518,1600
6/01/2011,Spring,2011,1,0,Fri,1,8.38,51.83,6,88,1518,1606
7/01/2011,Spring,2011,1,0,Sat,2,8.06,49.87,11.3,148,1362,1510
8/01/2011,Spring,2011,1,0,Sun,2,6.77,53.58,17.88,68,891,959
9/01/2011,Spring,2011,1,0,Mon,1,5.67,43.42,24.25,54,768,822
10/01/2011,Spring,2011,1,0,Tues,1,6.18,48.29,14.96,41,1280,1321
11/01/2011,Spring,2011,1,0,Wed,2,6.93,68.64,8.18,43,1220,1263
12/01/2011,Spring,2011,1,0,Thurs,1,7.08,59.95,20.41,25,1137,1162
13/01/2011,Spring,2011,1,0,Fri,1,6.77,47.04,20.17,38,1368,1406
14/01/2011,Spring,2011,1,0,Sat,1,6.6,53.78,8.48,54,1367,1421
15/01/2011,Spring,2011,1,0,Sun,2,9.57,49.88,10.58,222,1026,1248
16/01/2011,Spring,2011,1,0,Mon,1,9.5,48.38,12.63,251,953,1204
17/01/2011,Spring,2011,1,1,Tues,2,7.21,53.75,13,117,883,1000
18/01/2011,Spring,2011,1,0,Wed,2,8.88,86.17,9.83,9,674,683
19/01/2011,Spring,2011,1,0,Thurs,2,11.98,74.17,13.96,78,1572,1650
20/01/2011,Spring,2011,1,0,Fri,2,10.73,53.83,13.13,83,1844,1927
21/01/2011,Spring,2011,1,0,Sat,1,7.28,45.71,23.67,75,1468,1543
22/01/2011,Spring,2011,1,0,Sun,1,2.42,40,11.52,93,888,981
23/01/2011,Spring,2011,1,0,Mon,1,3.96,43.65,16.52,150,836,986
24/01/2011,Spring,2011,1,0,Tues,1,3.99,49.17,10.61,86,1330,1416
25/01/2011,Spring,2011,1,0,Wed,2,9.16,61.7,8.7,186,1799,1985
26/01/2011,Spring,2011,1,0,Thurs,3,8.92,86.25,19.69,34,472,506
27/01/2011,Spring,2011,1,0,Fri,1,8,68.75,7.63,15,416,431
28/01/2011,Spring,2011,1,0,Sat,2,8.34,79.3,8.26,38,1129,1167
29/01/2011,Spring,2011,1,0,Sun,1,8.06,65.17,9.74,123,975,1098
30/01/2011,Spring,2011,1,0,Mon,1,8.88,72.22,4.96,140,956,1096
31/01/2011,Spring,2011,1,0,Tues,2,7.41,60.38,12.54,42,1459,1501
1/02/2011,Spring,2011,2,0,Wed,2,7.88,82.96,3.57,47,1313,1360
2/02/2011,Spring,2011,2,0,Thurs,2,10.66,77.54,17.71,72,1454,1526
3/02/2011,Spring,2011,2,0,Fri,1,7.67,43.78,18.61,61,1489,1550
4/02/2011,Spring,2011,2,0,Sat,2,8.66,58.52,8.57,88,1620,1708
5/02/2011,Spring,2011,2,0,Sun,2,9.57,92.92,10.79,100,905,1005
6/02/2011,Spring,2011,2,0,Mon,1,11.72,56.83,9.5,354,1269,1623
7/02/2011,Spring,2011,2,0,Tues,1,11.14,73.83,3.04,120,1592,1712
8/02/2011,Spring,2011,2,0,Wed,1,9.05,53.79,24.25,64,1466,1530
9/02/2011,Spring,2011,2,0,Thurs,2,5.53,49.48,12.65,53,1552,1605
10/02/2011,Spring,2011,2,0,Fri,1,5.92,43.74,14.87,47,1491,1538
11/02/2011,Spring,2011,2,0,Sat,1,7.75,50.64,7.27,149,1597,1746
12/02/2011,Spring,2011,2,0,Sun,1,9.12,54.42,13.63,288,1184,1472
13/02/2011,Spring,2011,2,0,Mon,1,12.98,45.74,17.48,397,1192,1589
14/02/2011,Spring,2011,2,0,Tues,1,17.02,37.58,28,208,1705,1913
15/02/2011,Spring,2011,2,0,Wed,1,10.91,31.43,19.52,140,1675,1815
16/02/2011,Spring,2011,2,0,Thurs,1,13.05,42.35,16.87,218,1897,2115
17/02/2011,Spring,2011,2,0,Fri,1,17.87,50.5,15.42,259,2216,2475
18/02/2011,Spring,2011,2,0,Sat,1,21.39,51.67,17.75,579,2348,2927
19/02/2011,Spring,2011,2,0,Sun,1,16.37,18.79,34,532,1103,1635
20/02/2011,Spring,2011,2,0,Mon,1,11.69,40.78,14.96,639,1173,1812
21/02/2011,Spring,2011,2,1,Tues,2,12.44,60.5,20.63,195,912,1107
22/02/2011,Spring,2011,2,0,Wed,1,7.47,57.78,13.11,74,1376,1450
23/02/2011,Spring,2011,2,0,Thurs,1,9.09,42.3,6.31,139,1778,1917
24/02/2011,Spring,2011,2,0,Fri,2,12.12,69.74,16.78,100,1707,1807
25/02/2011,Spring,2011,2,0,Sat,2,14.94,71.22,23.22,120,1341,1461
26/02/2011,Spring,2011,2,0,Sun,1,11.58,53.79,12.5,424,1545,1969
27/02/2011,Spring,2011,2,0,Mon,1,14.08,68,8.39,694,1708,2402
28/02/2011,Spring,2011,2,0,Tues,2,16.7,87.64,19.41,81,1365,1446
1/03/2011,Spring,2011,3,0,Wed,1,10.93,53.5,14.5,137,1714,1851
2/03/2011,Spring,2011,3,0,Thurs,1,13.74,44.96,20.62,231,1903,2134
3/03/2011,Spring,2011,3,0,Fri,1,8.13,31.83,15.13,123,1562,1685
4/03/2011,Spring,2011,3,0,Sat,2,10.73,61.04,13.62,214,1730,1944
5/03/2011,Spring,2011,3,0,Sun,2,15.75,78.92,16.88,640,1437,2077
6/03/2011,Spring,2011,3,0,Mon,2,15.44,94.83,23,114,491,605
7/03/2011,Spring,2011,3,0,Tues,1,10.73,55.13,22.87,244,1628,1872
8/03/2011,Spring,2011,3,0,Wed,1,11.99,42.08,8.08,316,1817,2133
9/03/2011,Spring,2011,3,0,Thurs,2,12.13,77.54,14.75,191,1700,1891
10/03/2011,Spring,2011,3,0,Fri,3,15.95,0,17.55,46,577,623
11/03/2011,Spring,2011,3,0,Sat,2,12.98,64.96,15.61,247,1730,1977
12/03/2011,Spring,2011,3,0,Sun,1,13.5,59.46,14.79,724,1408,2132
13/03/2011,Spring,2011,3,0,Mon,1,15.76,52.74,18.13,982,1435,2417
14/03/2011,Spring,2011,3,0,Tues,1,13.33,49.7,9.17,359,1687,2046
15/03/2011,Spring,2011,3,0,Wed,2,13.01,65.57,12.35,289,1767,2056
16/03/2011,Spring,2011,3,0,Thurs,2,14.97,77.65,13.61,321,1871,2192
17/03/2011,Spring,2011,3,0,Fri,1,17.02,60.29,14.04,424,2320,2744
18/03/2011,Spring,2011,3,0,Sat,1,22.14,52.52,15.48,884,2355,3239
19/03/2011,Spring,2011,3,0,Sun,1,19.37,37.92,24.67,1424,1693,3117
20/03/2011,Spring,2011,3,0,Mon,1,13.63,47.38,13.92,1047,1424,2471
21/03/2011,Summer,2011,3,0,Tues,2,17.65,73.74,19.35,401,1676,2077
22/03/2011,Summer,2011,3,0,Wed,1,18.11,62.46,15.13,460,2243,2703
23/03/2011,Summer,2011,3,0,Thurs,2,14.23,83.96,15.7,203,1918,2121
24/03/2011,Summer,2011,3,0,Fri,2,11.69,80.58,16.33,166,1699,1865
25/03/2011,Summer,2011,3,0,Sat,1,10.83,49.5,15.46,300,1910,2210
26/03/2011,Summer,2011,3,0,Sun,1,10.9,39.42,14.04,981,1515,2496
27/03/2011,Summer,2011,3,0,Mon,2,10.37,49.39,12.35,472,1221,1693
28/03/2011,Summer,2011,3,0,Tues,1,10.84,30.22,14.22,222,1806,2028
29/03/2011,Summer,2011,3,0,Wed,1,12.4,31.42,15.21,317,2108,2425
30/03/2011,Summer,2011,3,0,Thurs,2,12.3,64.67,11.58,168,1368,1536
31/03/2011,Summer,2011,3,0,Fri,3,11,91.83,14.58,179,1506,1685
1/04/2011,Summer,2011,4,0,Sat,2,12.3,68.63,17.33,307,1920,2227
2/04/2011,Summer,2011,4,0,Sun,2,12.92,65.38,13.21,898,1354,2252
3/04/2011,Summer,2011,4,0,Mon,1,15.51,48,12.21,1651,1598,3249
4/04/2011,Summer,2011,4,0,Tues,1,23.51,42.63,25.83,734,2381,3115
5/04/2011,Summer,2011,4,0,Wed,2,16.98,64.21,26,167,1628,1795
